Receiver: 1 ,Data: hello 2, RSSI: -98, Comment: 66,8, Timestamp: Thu Nov 09 2023 17:04:44 GMT+0330 (Iran Standard Time)
Receiver: 1 ,Data: hello 3, RSSI: -98, Comment: 66,8, Timestamp: Thu Nov 09 2023 17:04:47 GMT+0330 (Iran Standard Time)
Receiver: 1 ,Data: hello 4, RSSI: -98, Comment: 66,8, Timestamp: Thu Nov 09 2023 17:04:50 GMT+0330 (Iran Standard Time)
Receiver: 1 ,Data: hello 5, RSSI: -101, Comment: 58,8, Timestamp: Thu Nov 09 2023 17:05:13 GMT+0330 (Iran Standard Time)
Receiver: 1 ,Data: hello 6, RSSI: -102, Comment: 58,8, Timestamp: Thu Nov 09 2023 17:05:16 GMT+0330 (Iran Standard Time)
Receiver: 1 ,Data: hello 7, RSSI: -101, Comment: 58,8, Timestamp: Thu Nov 09 2023 17:05:19 GMT+0330 (Iran Standard Time)
Receiver: 1 ,Data: hello 8, RSSI: -101, Comment: 58,8, Timestamp: Thu Nov 09 2023 17:05:22 GMT+0330 (Iran Standard Time)
Receiver: 1 ,Data: hello 9, RSSI: -101, Comment: 58,8, Timestamp: Thu Nov 09 2023 17:05:26 GMT+0330 (Iran Standard Time)
Receiver: 1 ,Data: hello 10, RSSI: -86, Comment: 50,8, Timestamp: Thu Nov 09 2023 17:06:09 GMT+0330 (Iran Standard Time)
Receiver: 1 ,Data: hello 11, RSSI: -85, Comment: 50,8, Timestamp: Thu Nov 09 2023 17:06:13 GMT+0330 (Iran Standard Time)
Receiver: 1 ,Data: hello 12, RSSI: -86, Comment: 50,8, Timestamp: Thu Nov 09 2023 17:06:16 GMT+0330 (Iran Standard Time)
Receiver: 1 ,Data: hello 13, RSSI: -85, Comment: 50,8, Timestamp: Thu Nov 09 2023 17:06:20 GMT+0330 (Iran Standard Time)
Receiver: 1 ,Data: hello 14, RSSI: -86, Comment: 50,8, Timestamp: Thu Nov 09 2023 17:06:23 GMT+0330 (Iran Standard Time)
Receiver: 1 ,Data: hello 15, RSSI: -83, Comment: 42,8, Timestamp: Thu Nov 09 2023 17:06:46 GMT+0330 (Iran Standard Time)
Receiver: 1 ,Data: hello 16, RSSI: -83, Comment: 42,8, Timestamp: Thu Nov 09 2023 17:06:49 GMT+0330 (Iran Standard Time)
Receiver: 1 ,Data: hello 17, RSSI: -83, Comment: 42,8, Timestamp: Thu Nov 09 2023 17:06:52 GMT+0330 (Iran Standard Time)
Receiver: 1 ,Data: hello 18, RSSI: -83, Comment: 42,8, Timestamp: Thu Nov 09 2023 17:06:56 GMT+0330 (Iran Standard Time)
Receiver: 1 ,Data: hello 19, RSSI: -83, Comment: 42,8, Timestamp: Thu Nov 09 2023 17:06:59 GMT+0330 (Iran Standard Time)
Receiver: 1 ,Data: hello 20, RSSI: -82, Comment: 34,8, Timestamp: Thu Nov 09 2023 17:07:19 GMT+0330 (Iran Standard Time)
Receiver: 1 ,Data: hello 21, RSSI: -82, Comment: 34,8, Timestamp: Thu Nov 09 2023 17:07:22 GMT+0330 (Iran Standard Time)
Receiver: 1 ,Data: hello 22, RSSI: -82, Comment: 34,8, Timestamp: Thu Nov 09 2023 17:07:25 GMT+0330 (Iran Standard Time)
Receiver: 1 ,Data: hello 23, RSSI: -82, Comment: 34,8, Timestamp: Thu Nov 09 2023 17:07:29 GMT+0330 (Iran Standard Time)
Receiver: 1 ,Data: hello 24, RSSI: -82, Comment: 34,8, Timestamp: Thu Nov 09 2023 17:07:32 GMT+0330 (Iran Standard Time)
Receiver: 1 ,Data: hello 25, RSSI: -85, Comment: 26,8, Timestamp: Thu Nov 09 2023 17:07:52 GMT+0330 (Iran Standard Time)
Receiver: 1 ,Data: hello 26, RSSI: -85, Comment: 26,8, Timestamp: Thu Nov 09 2023 17:07:55 GMT+0330 (Iran Standard Time)
Receiver: 1 ,Data: hello 27, RSSI: -85, Comment: 26,8, Timestamp: Thu Nov 09 2023 17:07:59 GMT+0330 (Iran Standard Time)
Receiver: 1 ,Data: hello 28, RSSI: -85, Comment: 26,8, Timestamp: Thu Nov 09 2023 17:08:02 GMT+0330 (Iran Standard Time)
Receiver: 1 ,Data: hello 29, RSSI: -85, Comment: 26,8, Timestamp: Thu Nov 09 2023 17:08:05 GMT+0330 (Iran Standard Time)
Receiver: 1 ,Data: hello 30, RSSI: -85, Comment: 18,8, Timestamp: Thu Nov 09 2023 17:08:35 GMT+0330 (Iran Standard Time)
Receiver: 1 ,Data: hello 31, RSSI: -84, Comment: 18,8, Timestamp: Thu Nov 09 2023 17:08:38 GMT+0330 (Iran Standard Time)
Receiver: 1 ,Data: hello 32, RSSI: -85, Comment: 18,8, Timestamp: Thu Nov 09 2023 17:08:42 GMT+0330 (Iran Standard Time)
Receiver: 1 ,Data: hello 33, RSSI: -85, Comment: 18,8, Timestamp: Thu Nov 09 2023 17:08:45 GMT+0330 (Iran Standard Time)
Receiver: 1 ,Data: hello 34, RSSI: -85, Comment: 18,8, Timestamp: Thu Nov 09 2023 17:08:48 GMT+0330 (Iran Standard Time)
Receiver: 1 ,Data: hello 35, RSSI: -96, Comment: 10,8, Timestamp: Thu Nov 09 2023 17:09:11 GMT+0330 (Iran Standard Time)
Receiver: 1 ,Data: hello 36, RSSI: -95, Comment: 10,8, Timestamp: Thu Nov 09 2023 17:09:15 GMT+0330 (Iran Standard Time)
Receiver: 1 ,Data: hello 37, RSSI: -95, Comment: 10,8, Timestamp: Thu Nov 09 2023 17:09:18 GMT+0330 (Iran Standard Time)
Receiver: 1 ,Data: hello 38, RSSI: -95, Comment: 10,8, Timestamp: Thu Nov 09 2023 17:09:21 GMT+0330 (Iran Standard Time)
Receiver: 1 ,Data: hello 39, RSSI: -96, Comment: 10,8, Timestamp: Thu Nov 09 2023 17:09:25 GMT+0330 (Iran Standard Time)
Receiver: 1 ,Data: hello 40, RSSI: -93, Comment: 2,8, Timestamp: Thu Nov 09 2023 17:09:48 GMT+0330 (Iran Standard Time)
Receiver: 1 ,Data: hello 41, RSSI: -94, Comment: 2,8, Timestamp: Thu Nov 09 2023 17:09:51 GMT+0330 (Iran Standard Time)
Receiver: 1 ,Data: hello 42, RSSI: -94, Comment: 2,8, Timestamp: Thu Nov 09 2023 17:09:54 GMT+0330 (Iran Standard Time)
Receiver: 1 ,Data: hello 43, RSSI: -93, Comment: 2,8, Timestamp: Thu Nov 09 2023 17:09:58 GMT+0330 (Iran Standard Time)
Receiver: 1 ,Data: hello 44, RSSI: -94, Comment: 2,8, Timestamp: Thu Nov 09 2023 17:10:01 GMT+0330 (Iran Standard Time)
Receiver: 1 ,Data: hello 0, RSSI: -91, Comment: 0,16, Timestamp: Thu Nov 09 2023 17:11:38 GMT+0330 (Iran Standard Time)
Receiver: 1 ,Data: hello 1, RSSI: -90, Comment: 0,16, Timestamp: Thu Nov 09 2023 17:11:42 GMT+0330 (Iran Standard Time)
Receiver: 1 ,Data: hello 2, RSSI: -91, Comment: 0,16, Timestamp: Thu Nov 09 2023 17:11:45 GMT+0330 (Iran Standard Time)
Receiver: 1 ,Data: hello 3, RSSI: -91, Comment: 0,16, Timestamp: Thu Nov 09 2023 17:11:48 GMT+0330 (Iran Standard Time)
Receiver: 1 ,Data: hello 4, RSSI: -91, Comment: 0,16, Timestamp: Thu Nov 09 2023 17:11:52 GMT+0330 (Iran Standard Time)
Receiver: 1 ,Data: hello 0, RSSI: -91, Comment: 8,16, Timestamp: Thu Nov 09 2023 17:12:54 GMT+0330 (Iran Standard Time)
Receiver: 1 ,Data: hello 1, RSSI: -91, Comment: 8,16, Timestamp: Thu Nov 09 2023 17:12:58 GMT+0330 (Iran Standard Time)
Receiver: 1 ,Data: hello 2, RSSI: -91, Comment: 8,16, Timestamp: Thu Nov 09 2023 17:13:01 GMT+0330 (Iran Standard Time)
Receiver: 1 ,Data: hello 3, RSSI: -91, Comment: 8,16, Timestamp: Thu Nov 09 2023 17:13:05 GMT+0330 (Iran Standard Time)
Receiver: 1 ,Data: hello 4, RSSI: -92, Comment: 8,16, Timestamp: Thu Nov 09 2023 17:13:08 GMT+0330 (Iran Standard Time)
Receiver: 1 ,Data: hello 5, RSSI: -87, Comment: 16,16, Timestamp: Thu Nov 09 2023 17:13:32 GMT+0330 (Iran Standard Time)
